#code: 24675
#name: AÇUDE ACARAPE DO MEIO
#muncode: 2311603
#munname: Redenção
#x: -38.7996666667
#y: -4.19477777778
2015 	05 	14	0.0
2015 	05 	15	0.0
2015 	05 	16	0.0
2015 	05 	17	0.0
2015 	05 	18	0.0
2015 	05 	19	0.0
2015 	05 	20	0.0
2015 	05 	21	7.2
2015 	05 	22	0.0
2015 	05 	23	9.2
2015 	05 	24	0.0
2015 	05 	25	0.0
2015 	05 	26	0.0
2015 	05 	27	0.0
2015 	05 	28	0.0
2015 	05 	29	14.4
2015 	05 	30	0.0
2015 	05 	31	11.0
2015 	06 	01	0.0
2015 	06 	02	0.0
2015 	06 	03	0.0
2015 	06 	04	0.0
2015 	06 	05	9.4
2015 	06 	06	0.0
2015 	06 	07	0.0
2015 	06 	08	23.0
2015 	06 	09	9.8
2015 	06 	10	0.0
2015 	06 	11	0.0
2015 	06 	12	0.0
2015 	06 	13	0.0
2015 	06 	14	0.0
2015 	06 	15	0.0
2015 	06 	16	0.0
2015 	06 	17	0.0
2015 	06 	18	0.0
2015 	06 	19	0.0
2015 	06 	20	0.0
2015 	06 	21	0.0
2015 	06 	22	0.0
2015 	06 	23	0.0
2015 	06 	24	0.0
2015 	06 	25	0.0
2015 	06 	26	28.0
2015 	06 	27	0.0
2015 	06 	28	0.0
2015 	06 	29	6.2
2015 	06 	30	7.0
2015 	07 	01	0.0
2015 	07 	02	0.0
2015 	07 	03	46.0
2015 	07 	04	11.0
2015 	07 	05	0.0
2015 	07 	06	0.0
2015 	07 	07	0.0
2015 	07 	08	0.0
2015 	07 	09	0.0
2015 	07 	10	0.0
2015 	07 	11	0.0
2015 	07 	12	0.0
2015 	07 	13	0.0
2015 	07 	14	0.0
2015 	07 	15	0.0
2015 	07 	16	0.0
2015 	07 	17	33.2
2015 	07 	18	12.8
2015 	07 	19	0.0
2015 	07 	20	0.0
2015 	07 	21	0.0
2015 	07 	22	0.0
2015 	07 	23	0.0
2015 	07 	24	0.0
2015 	07 	25	0.0
2015 	07 	26	0.0
2015 	07 	27	0.0
2015 	07 	28	0.0
2015 	07 	29	0.0
2015 	07 	30	0.0
2015 	07 	31	0.0
2015 	08 	01	0.0
2015 	08 	02	0.0
2015 	08 	03	0.0
2015 	08 	04	0.0
2015 	08 	05	0.0
2015 	08 	06	0.0
2015 	08 	07	0.0
2015 	08 	08	0.0
2015 	08 	09	0.0
2015 	08 	10	0.0
2015 	08 	11	0.0
2015 	08 	12	0.0
2015 	08 	13	0.0
2015 	08 	14	0.0
2015 	08 	15	0.0
2015 	08 	16	0.0
2015 	08 	17	0.0
2015 	08 	18	0.0
2015 	08 	19	0.0
2015 	08 	20	0.0
2015 	08 	21	0.0
2015 	08 	22	4.0
2015 	08 	23	0.0
2015 	08 	24	0.0
2015 	08 	25	0.0
2015 	08 	26	0.0
2015 	08 	27	0.0
2015 	08 	28	0.0
2015 	08 	29	0.0
2015 	08 	30	0.0
2015 	08 	31	0.0
2015 	09 	01	0.0
2015 	09 	02	0.0
2015 	09 	03	0.0
2015 	09 	04	0.0
2015 	09 	05	0.0
2015 	09 	06	0.0
2015 	09 	07	6.4
2015 	09 	08	0.0
2015 	09 	09	0.0
2015 	09 	10	0.0
2015 	09 	11	0.0
2015 	09 	12	0.0
2015 	09 	13	4.6
2015 	09 	14	0.0
2015 	09 	15	nan
2015 	09 	16	nan
2015 	09 	17	nan
2015 	09 	18	nan
2015 	09 	19	nan
2015 	09 	20	nan
2015 	09 	21	nan
2015 	09 	22	nan
2015 	09 	23	nan
2015 	09 	24	nan
2015 	09 	25	nan
2015 	09 	26	nan
2015 	09 	27	nan
2015 	09 	28	nan
2015 	09 	29	nan
2015 	09 	30	nan
2015 	10 	01	0.0
2015 	10 	02	0.0
2015 	10 	03	0.0
2015 	10 	04	0.0
2015 	10 	05	0.0
2015 	10 	06	0.0
2015 	10 	07	0.0
2015 	10 	08	3.2
2015 	10 	09	0.0
2015 	10 	10	0.0
2015 	10 	11	0.0
2015 	10 	12	0.0
2015 	10 	13	0.0
2015 	10 	14	0.0
2015 	10 	15	0.0
2015 	10 	16	0.0
2015 	10 	17	0.0
2015 	10 	18	0.0
2015 	10 	19	0.0
2015 	10 	20	0.0
2015 	10 	21	0.0
2015 	10 	22	0.0
2015 	10 	23	0.0
2015 	10 	24	0.0
2015 	10 	25	0.0
2015 	10 	26	0.0
2015 	10 	27	0.0
2015 	10 	28	0.0
2015 	10 	29	0.0
2015 	10 	30	0.0
2015 	10 	31	0.0
2015 	11 	01	0.0
2015 	11 	02	0.0
2015 	11 	03	0.0
2015 	11 	04	0.0
2015 	11 	05	0.0
2015 	11 	06	0.0
2015 	11 	07	0.0
2015 	11 	08	0.0
2015 	11 	09	0.0
2015 	11 	10	4.0
2015 	11 	11	0.0
2015 	11 	12	0.0
2015 	11 	13	0.0
2015 	11 	14	0.0
2015 	11 	15	0.0
2015 	11 	16	0.0
2015 	11 	17	0.0
2015 	11 	18	0.0
2015 	11 	19	0.0
2015 	11 	20	0.0
2015 	11 	21	0.0
2015 	11 	22	0.0
2015 	11 	23	0.0
2015 	11 	24	0.0
2015 	11 	25	0.0
2015 	11 	26	0.0
2015 	11 	27	0.0
2015 	11 	28	0.0
2015 	11 	29	0.0
2015 	11 	30	0.0
2015 	12 	01	0.0
2015 	12 	02	0.0
2015 	12 	03	0.0
2015 	12 	04	0.0
2015 	12 	05	0.0
2015 	12 	06	0.0
2015 	12 	07	0.0
2015 	12 	08	0.0
2015 	12 	09	0.0
2015 	12 	10	0.0
2015 	12 	11	0.0
2015 	12 	12	0.0
2015 	12 	13	0.0
2015 	12 	14	0.0
2015 	12 	15	0.0
2015 	12 	16	0.0
2015 	12 	17	4.0
2015 	12 	18	0.0
2015 	12 	19	0.0
2015 	12 	20	0.0
2015 	12 	21	0.0
2015 	12 	22	0.0
2015 	12 	23	0.0
2015 	12 	24	0.0
2015 	12 	25	10.0
2015 	12 	26	2.2
2015 	12 	27	0.0
2015 	12 	28	0.0
2015 	12 	29	14.0
2015 	12 	30	0.0
2015 	12 	31	0.0
2016 	01 	01	0.0
2016 	01 	02	0.0
2016 	01 	03	2.3
2016 	01 	04	0.0
2016 	01 	05	0.0
2016 	01 	06	0.0
2016 	01 	07	0.0
2016 	01 	08	0.0
2016 	01 	09	34.6
2016 	01 	10	8.0
2016 	01 	11	0.0
2016 	01 	12	0.0
2016 	01 	13	0.0
2016 	01 	14	0.0
2016 	01 	15	0.0
2016 	01 	16	0.0
2016 	01 	17	0.0
2016 	01 	18	31.6
2016 	01 	19	37.2
2016 	01 	20	0.0
2016 	01 	21	10.0
2016 	01 	22	6.4
2016 	01 	23	9.2
2016 	01 	24	28.6
2016 	01 	25	23.4
2016 	01 	26	3.6
2016 	01 	27	0.0
2016 	01 	28	4.6
2016 	01 	29	0.0
2016 	01 	30	0.0
2016 	01 	31	0.0
2016 	02 	01	20.4
2016 	02 	02	7.2
2016 	02 	03	3.4
2016 	02 	04	9.0
2016 	02 	05	0.0
2016 	02 	06	0.0
2016 	02 	07	0.0
2016 	02 	08	0.0
2016 	02 	09	0.0
2016 	02 	10	0.0
2016 	02 	11	0.0
2016 	02 	12	0.0
2016 	02 	13	0.0
2016 	02 	14	0.0
2016 	02 	15	0.0
2016 	02 	16	0.0
2016 	02 	17	0.0
2016 	02 	18	0.0
2016 	02 	19	20.0
2016 	02 	20	8.0
2016 	02 	21	4.4
2016 	02 	22	0.0
2016 	02 	23	10.0
2016 	02 	24	0.0
2016 	02 	25	0.0
2016 	02 	26	7.2
2016 	02 	27	0.0
2016 	02 	28	0.0
2016 	02 	29	0.0
2016 	03 	01	0.0
2016 	03 	02	0.0
2016 	03 	03	0.0
2016 	03 	04	5.0
2016 	03 	05	0.0
2016 	03 	06	0.0
2016 	03 	07	0.0
2016 	03 	08	0.0
2016 	03 	09	12.9
2016 	03 	10	0.0
2016 	03 	11	0.0
2016 	03 	12	0.0
2016 	03 	13	0.0
2016 	03 	14	0.0
2016 	03 	15	0.0
2016 	03 	16	12.4
2016 	03 	17	0.0
2016 	03 	18	6.2
2016 	03 	19	0.0
2016 	03 	20	0.0
2016 	03 	21	5.2
2016 	03 	22	0.0
2016 	03 	23	0.0
2016 	03 	24	0.0
2016 	03 	25	0.0
2016 	03 	26	4.4
2016 	03 	27	0.0
2016 	03 	28	0.0
2016 	03 	29	0.0
2016 	03 	30	37.4
2016 	03 	31	20.6
2016 	04 	01	20.0
2016 	04 	02	11.4
2016 	04 	03	6.0
2016 	04 	04	4.4
2016 	04 	05	6.4
2016 	04 	06	29.2
2016 	04 	07	32.2
2016 	04 	08	0.0
2016 	04 	09	20.4
2016 	04 	10	16.2
2016 	04 	11	0.0
2016 	04 	12	16.4
2016 	04 	13	0.0
2016 	04 	14	0.0
2016 	04 	15	9.2
2016 	04 	16	22.6
2016 	04 	17	0.0
2016 	04 	18	4.0
2016 	04 	19	0.0
2016 	04 	20	0.0
2016 	04 	21	0.0
2016 	04 	22	0.0
2016 	04 	23	18.0
2016 	04 	24	0.0
2016 	04 	25	0.0
2016 	04 	26	0.0
2016 	04 	27	0.0
2016 	04 	28	0.0
2016 	04 	29	0.0
2016 	04 	30	0.0
2016 	05 	01	0.0
2016 	05 	02	0.0
2016 	05 	03	12.2
2016 	05 	04	0.0
2016 	05 	05	0.0
2016 	05 	06	0.0
2016 	05 	07	0.0
2016 	05 	08	0.0
2016 	05 	09	0.0
2016 	05 	10	13.0
2016 	05 	11	16.6
2016 	05 	12	15.6
2016 	05 	13	0.0
2016 	05 	14	0.0
2016 	05 	15	10.0
2016 	05 	16	0.0
2016 	05 	17	0.0
2016 	05 	18	0.0
2016 	05 	19	0.0
2016 	05 	20	0.0
2016 	05 	21	0.0
2016 	05 	22	0.0
2016 	05 	23	0.0
2016 	05 	24	0.0
2016 	05 	25	0.0
2016 	05 	26	0.0
2016 	05 	27	2.0
2016 	05 	28	0.0
2016 	05 	29	0.0
2016 	05 	30	0.0
2016 	05 	31	6.2
2016 	06 	01	18.0
2016 	06 	02	0.0
2016 	06 	03	0.0
2016 	06 	04	16.4
2016 	06 	05	4.4
2016 	06 	06	1.2
2016 	06 	07	36.0
2016 	06 	08	0.0
2016 	06 	09	0.0
2016 	06 	10	4.6
2016 	06 	11	0.0
2016 	06 	12	0.0
2016 	06 	13	0.0
2016 	06 	14	0.0
2016 	06 	15	0.0
2016 	06 	16	0.0
2016 	06 	17	0.0
2016 	06 	18	0.0
2016 	06 	19	0.0
2016 	06 	20	0.0
2016 	06 	21	0.0
2016 	06 	22	0.0
2016 	06 	23	0.0
2016 	06 	24	0.0
2016 	06 	25	0.0
2016 	06 	26	0.0
2016 	06 	27	0.0
2016 	06 	28	0.0
2016 	06 	29	0.0
2016 	06 	30	0.0
2016 	07 	01	0.0
2016 	07 	02	0.0
2016 	07 	03	0.0
2016 	07 	04	0.0
2016 	07 	05	0.0
2016 	07 	06	0.0
2016 	07 	07	0.0
2016 	07 	08	0.0
2016 	07 	09	0.0
2016 	07 	10	0.0
2016 	07 	11	0.0
2016 	07 	12	2.0
2016 	07 	13	0.0
2016 	07 	14	0.0
2016 	07 	15	0.0
2016 	07 	16	0.0
2016 	07 	17	0.0
2016 	07 	18	0.0
2016 	07 	19	1.4
2016 	07 	20	0.0
2016 	07 	21	0.0
2016 	07 	22	0.0
2016 	07 	23	0.0
2016 	07 	24	0.0
2016 	07 	25	0.0
2016 	07 	26	0.0
2016 	07 	27	0.0
2016 	07 	28	0.0
2016 	07 	29	0.0
2016 	07 	30	0.0
2016 	07 	31	0.0
2016 	08 	01	0.0
2016 	08 	02	0.0
2016 	08 	03	0.0
2016 	08 	04	0.0
2016 	08 	05	0.0
2016 	08 	06	0.0
2016 	08 	07	0.0
2016 	08 	08	3.6
2016 	08 	09	0.0
2016 	08 	10	0.0
2016 	08 	11	0.0
2016 	08 	12	0.0
2016 	08 	13	0.0
2016 	08 	14	0.0
2016 	08 	15	0.0
2016 	08 	16	0.0
2016 	08 	17	0.0
2016 	08 	18	0.0
2016 	08 	19	0.0
2016 	08 	20	0.0
2016 	08 	21	5.2
2016 	08 	22	0.0
2016 	08 	23	0.0
2016 	08 	24	0.0
2016 	08 	25	0.0
2016 	08 	26	0.0
2016 	08 	27	0.0
2016 	08 	28	0.0
2016 	08 	29	0.0
2016 	08 	30	0.0
2016 	08 	31	0.0
2016 	09 	01	0.0
2016 	09 	02	0.0
2016 	09 	03	0.0
2016 	09 	04	0.0
2016 	09 	05	0.0
2016 	09 	06	0.0
2016 	09 	07	0.0
2016 	09 	08	0.0
2016 	09 	09	0.0
2016 	09 	10	0.0
2016 	09 	11	9.6
2016 	09 	12	0.0
2016 	09 	13	0.0
2016 	09 	14	0.0
2016 	09 	15	0.0
2016 	09 	16	0.0
2016 	09 	17	0.0
2016 	09 	18	0.0
2016 	09 	19	0.0
2016 	09 	20	0.0
2016 	09 	21	0.0
2016 	09 	22	0.0
2016 	09 	23	0.0
2016 	09 	24	0.0
2016 	09 	25	0.0
2016 	09 	26	0.0
2016 	09 	27	0.0
2016 	09 	28	0.0
2016 	09 	29	0.0
2016 	09 	30	0.0
2016 	10 	01	0.0
2016 	10 	02	0.0
2016 	10 	03	0.0
2016 	10 	04	0.0
2016 	10 	05	0.0
2016 	10 	06	0.0
2016 	10 	07	0.0
2016 	10 	08	0.0
2016 	10 	09	0.0
2016 	10 	10	0.0
2016 	10 	11	0.0
2016 	10 	12	0.0
2016 	10 	13	0.0
2016 	10 	14	0.0
2016 	10 	15	0.0
2016 	10 	16	0.0
2016 	10 	17	0.0
2016 	10 	18	0.0
2016 	10 	19	0.0
2016 	10 	20	4.2
2016 	10 	21	1.4
2016 	10 	22	0.0
2016 	10 	23	0.0
2016 	10 	24	0.0
2016 	10 	25	0.0
2016 	10 	26	0.0
2016 	10 	27	0.0
2016 	10 	28	0.0
2016 	10 	29	0.0
2016 	10 	30	0.0
2016 	10 	31	0.0
2016 	11 	01	0.0
2016 	11 	02	0.0
2016 	11 	03	0.0
2016 	11 	04	0.0
2016 	11 	05	0.0
2016 	11 	06	0.0
2016 	11 	07	0.0
2016 	11 	08	3.6
2016 	11 	09	5.2
2016 	11 	10	5.4
2016 	11 	11	0.0
2016 	11 	12	0.0
2016 	11 	13	0.0
2016 	11 	14	0.0
2016 	11 	15	0.0
2016 	11 	16	0.0
2016 	11 	17	0.0
2016 	11 	18	0.0
2016 	11 	19	0.0
2016 	11 	20	1.2
2016 	11 	21	0.0
2016 	11 	22	0.0
2016 	11 	23	0.0
2016 	11 	24	0.0
2016 	11 	25	0.0
2016 	11 	26	0.0
2016 	11 	27	0.0
2016 	11 	28	0.0
2016 	11 	29	0.0
2016 	11 	30	0.0
2016 	12 	01	0.0
2016 	12 	02	0.0
2016 	12 	03	0.0
2016 	12 	04	0.0
2016 	12 	05	0.0
2016 	12 	06	0.0
2016 	12 	07	0.0
2016 	12 	08	0.0
2016 	12 	09	0.0
2016 	12 	10	0.0
2016 	12 	11	0.0
2016 	12 	12	0.0
2016 	12 	13	0.0
2016 	12 	14	0.0
2016 	12 	15	0.0
2016 	12 	16	0.0
2016 	12 	17	0.0
2016 	12 	18	47.0
2016 	12 	19	35.4
2016 	12 	20	0.0
2016 	12 	21	2.0
2016 	12 	22	0.0
2016 	12 	23	11.2
2016 	12 	24	0.0
2016 	12 	25	0.0
2016 	12 	26	11.4
2016 	12 	27	0.0
2016 	12 	28	0.0
2016 	12 	29	1.2
2016 	12 	30	2.8
2016 	12 	31	0.0
2017 	01 	01	0.0
2017 	01 	02	0.0
2017 	01 	03	2.2
2017 	01 	04	0.0
2017 	01 	05	3.0
2017 	01 	06	0.0
2017 	01 	07	0.0
2017 	01 	08	34.6
2017 	01 	09	0.0
2017 	01 	10	0.0
2017 	01 	11	0.0
2017 	01 	12	0.0
2017 	01 	13	0.0
2017 	01 	14	0.0
2017 	01 	15	0.0
2017 	01 	16	0.0
2017 	01 	17	0.0
2017 	01 	18	0.0
2017 	01 	19	6.0
2017 	01 	20	7.2
2017 	01 	21	0.0
2017 	01 	22	5.0
2017 	01 	23	5.2
2017 	01 	24	0.0
2017 	01 	25	5.6
2017 	01 	26	2.6
2017 	01 	27	0.0
2017 	01 	28	0.0
2017 	01 	29	12.0
2017 	01 	30	0.0
2017 	01 	31	2.6
2017 	02 	01	1.6
2017 	02 	02	6.4
2017 	02 	03	0.0
2017 	02 	04	0.0
2017 	02 	05	0.0
2017 	02 	06	0.0
2017 	02 	07	0.0
2017 	02 	08	0.0
2017 	02 	09	0.0
2017 	02 	10	0.0
2017 	02 	11	48.4
2017 	02 	12	6.0
2017 	02 	13	0.0
2017 	02 	14	0.0
2017 	02 	15	19.0
2017 	02 	16	0.0
2017 	02 	17	0.0
2017 	02 	18	nan
2017 	02 	19	nan
2017 	02 	20	9.2
2017 	02 	21	3.2
2017 	02 	22	23.4
2017 	02 	23	0.0
2017 	02 	24	0.0
2017 	02 	25	22.2
2017 	02 	26	12.0
2017 	02 	27	5.2
2017 	02 	28	24.0
2017 	03 	01	5.2
2017 	03 	02	13.4
2017 	03 	03	53.4
2017 	03 	04	3.4
2017 	03 	05	14.2
2017 	03 	06	26.0
2017 	03 	07	16.4
2017 	03 	08	24.6
2017 	03 	09	40.8
2017 	03 	10	6.4
2017 	03 	11	8.4
2017 	03 	12	4.2
2017 	03 	13	13.0
2017 	03 	14	38.4
2017 	03 	15	6.0
2017 	03 	16	1.6
2017 	03 	17	50.0
2017 	03 	18	11.4
2017 	03 	19	5.4
2017 	03 	20	4.0
2017 	03 	21	14.0
2017 	03 	22	17.0
2017 	03 	23	9.4
2017 	03 	24	19.0
2017 	03 	25	4.6
2017 	03 	26	12.4
2017 	03 	27	4.6
2017 	03 	28	18.0
2017 	03 	29	0.0
2017 	03 	30	4.8
2017 	03 	31	nan
2017 	04 	01	40.6
2017 	04 	02	4.0
2017 	04 	03	0.0
2017 	04 	04	7.2
2017 	04 	05	17.0
2017 	04 	06	40.2
2017 	04 	07	21.2
2017 	04 	08	0.0
2017 	04 	09	0.0
2017 	04 	10	5.4
2017 	04 	11	17.8
2017 	04 	12	49.2
2017 	04 	13	8.2
2017 	04 	14	8.4
2017 	04 	15	9.4
2017 	04 	16	0.0
2017 	04 	17	0.0
2017 	04 	18	0.0
2017 	04 	19	0.0
2017 	04 	20	0.0
2017 	04 	21	4.6
2017 	04 	22	0.0
2017 	04 	23	0.0
2017 	04 	24	4.0
2017 	04 	25	0.0
2017 	04 	26	2.0
2017 	04 	27	0.0
2017 	04 	28	0.0
2017 	04 	29	11.4
2017 	04 	30	2.0
2017 	05 	01	0.0
2017 	05 	02	18.8
2017 	05 	03	0.0
2017 	05 	04	26.4
2017 	05 	05	4.6
2017 	05 	06	0.0
2017 	05 	07	0.0
2017 	05 	08	0.0
2017 	05 	09	21.0
2017 	05 	10	4.6
2017 	05 	11	0.0
2017 	05 	12	2.6
2017 	05 	13	0.0
2017 	05 	14	0.0
2017 	05 	15	0.0
2017 	05 	16	0.0
2017 	05 	17	0.0
2017 	05 	18	0.0
2017 	05 	19	9.4
2017 	05 	20	6.6
2017 	05 	21	0.0
2017 	05 	22	0.0
2017 	05 	23	0.0
2017 	05 	24	0.0
2017 	05 	25	0.0
2017 	05 	26	4.0
2017 	05 	27	0.0
2017 	05 	28	0.0
2017 	05 	29	16.4
2017 	05 	30	28.0
2017 	05 	31	0.0
2017 	06 	01	2.0
2017 	06 	02	0.0
2017 	06 	03	0.0
2017 	06 	04	0.0
2017 	06 	05	0.0
2017 	06 	06	0.0
2017 	06 	07	0.0
2017 	06 	08	0.0
2017 	06 	09	0.0
2017 	06 	10	0.0
2017 	06 	11	1.0
2017 	06 	12	22.0
2017 	06 	13	0.0
2017 	06 	14	0.0
2017 	06 	15	3.2
2017 	06 	16	9.2
2017 	06 	17	0.0
2017 	06 	18	0.0
2017 	06 	19	0.0
2017 	06 	20	0.0
2017 	06 	21	0.0
2017 	06 	22	7.8
2017 	06 	23	0.0
2017 	06 	24	1.0
2017 	06 	25	1.2
2017 	06 	26	0.0
2017 	06 	27	0.0
2017 	06 	28	3.2
2017 	06 	29	0.0
2017 	06 	30	7.6
2017 	07 	01	2.4
2017 	07 	02	31.4
2017 	07 	03	19.2
2017 	07 	04	0.0
2017 	07 	05	0.0
2017 	07 	06	0.0
2017 	07 	07	0.0
2017 	07 	08	0.0
2017 	07 	09	0.0
2017 	07 	10	0.0
2017 	07 	11	0.0
2017 	07 	12	0.0
2017 	07 	13	0.0
2017 	07 	14	0.0
2017 	07 	15	0.0
2017 	07 	16	0.0
2017 	07 	17	0.0
2017 	07 	18	0.0
2017 	07 	19	0.0
2017 	07 	20	0.0
2017 	07 	21	14.6
2017 	07 	22	13.2
2017 	07 	23	4.4
2017 	07 	24	0.0
2017 	07 	25	0.0
2017 	07 	26	0.0
2017 	07 	27	0.0
2017 	07 	28	0.0
2017 	07 	29	0.0
2017 	07 	30	0.0
2017 	07 	31	0.0
2017 	08 	01	0.0
2017 	08 	02	0.0
2017 	08 	03	0.0
2017 	08 	04	0.0
2017 	08 	05	0.0
2017 	08 	06	0.0
2017 	08 	07	0.0
2017 	08 	08	0.0
2017 	08 	09	0.0
2017 	08 	10	0.0
2017 	08 	11	0.0
2017 	08 	12	0.0
2017 	08 	13	0.0
2017 	08 	14	0.0
2017 	08 	15	0.0
2017 	08 	16	0.0
2017 	08 	17	0.0
2017 	08 	18	0.0
2017 	08 	19	0.0
2017 	08 	20	0.0
2017 	08 	21	0.0
2017 	08 	22	0.0
2017 	08 	23	0.0
2017 	08 	24	0.0
2017 	08 	25	0.0
2017 	08 	26	29.6
2017 	08 	27	0.0
2017 	08 	28	0.0
2017 	08 	29	0.0
2017 	08 	30	0.0
2017 	08 	31	0.0
2017 	09 	01	0.0
2017 	09 	02	0.0
2017 	09 	03	0.0
2017 	09 	04	0.0
2017 	09 	05	0.0
2017 	09 	06	0.0
2017 	09 	07	0.0
2017 	09 	08	0.0
2017 	09 	09	0.0
2017 	09 	10	0.0
2017 	09 	11	0.0
2017 	09 	12	0.0
2017 	09 	13	0.0
2017 	09 	14	0.0
2017 	09 	15	0.0
2017 	09 	16	0.0
2017 	09 	17	0.0
2017 	09 	18	0.0
2017 	09 	19	0.0
2017 	09 	20	0.0
2017 	09 	21	0.0
2017 	09 	22	0.0
2017 	09 	23	0.0
2017 	09 	24	0.0
2017 	09 	25	0.0
2017 	09 	26	0.0
2017 	09 	27	0.0
2017 	09 	28	0.0
2017 	09 	29	0.0
2017 	09 	30	0.0
2017 	10 	01	0.0
2017 	10 	02	0.0
2017 	10 	03	0.0
2017 	10 	04	0.0
2017 	10 	05	0.0
2017 	10 	06	0.0
2017 	10 	07	0.0
2017 	10 	08	0.0
2017 	10 	09	0.0
2017 	10 	10	0.0
2017 	10 	11	0.0
2017 	10 	12	0.0
2017 	10 	13	0.0
2017 	10 	14	0.0
2017 	10 	15	0.0
2017 	10 	16	8.6
2017 	10 	17	0.0
2017 	10 	18	0.0
2017 	10 	19	0.0
2017 	10 	20	0.0
2017 	10 	21	0.0
2017 	10 	22	0.0
2017 	10 	23	0.0
2017 	10 	24	0.0
2017 	10 	25	0.0
2017 	10 	26	0.0
2017 	10 	27	0.0
2017 	10 	28	0.0
2017 	10 	29	0.0
2017 	10 	30	0.0
2017 	10 	31	0.0
2017 	11 	01	0.0
